                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 2.1847,                 2.5974,                 1.9687,                0.27488,                0.28236,                0.20586,                0.07617,                 1.9894,                 2.3633,                 2.0133,             0.00032188,             0.00032188,             0.00032188
                     78,                 2.1577,                 2.4921,                 1.9929,                0.28297,                0.31818,                 0.2218,                0.08354,                 1.9927,                 2.3593,                 2.0072,              0.0003095,              0.0003095,              0.0003095
                     79,                 2.1782,                 2.5097,                  1.972,                0.27563,                 0.2762,                0.21235,                0.07824,                 1.9975,                 2.3054,                 2.0174,             0.00029713,             0.00029713,             0.00029713
                     80,                 2.1591,                 2.5057,                 1.9796,                0.47128,                0.24959,                0.21337,                0.08234,                 1.9746,                 2.3318,                 2.0031,             0.00028475,             0.00028475,             0.00028475
                     81,                 2.1814,                 2.5477,                 1.9838,                0.34583,                0.28107,                0.23217,                0.08872,                  1.982,                 2.2748,                 2.0091,             0.00027237,             0.00027237,             0.00027237
                     82,                 2.1358,                 2.5244,                 1.9552,                0.27947,                0.29261,                0.21951,                0.08249,                  1.978,                 2.2766,                 2.0033,                0.00026,                0.00026,                0.00026
                     83,                 2.1298,                 2.4883,                 1.9554,                0.31578,                0.28439,                 0.2343,                0.08957,                 1.9641,                 2.2673,                 1.9997,             0.00024762,             0.00024762,             0.00024762
                     84,                 2.1375,                 2.5355,                 1.9478,                0.29377,                0.29264,                0.23197,                0.08894,                 1.9581,                 2.2655,                 1.9912,             0.00023525,             0.00023525,             0.00023525
                     85,                 2.1255,                 2.4483,                 1.9355,                0.32099,                 0.3044,                0.23059,                0.08927,                 1.9706,                 2.2796,                 2.0094,             0.00022288,             0.00022288,             0.00022288
                     86,                 2.1079,                 2.4621,                   1.92,                0.31013,                 0.2974,                0.24169,                0.09647,                 1.9534,                 2.2311,                 1.9752,              0.0002105,              0.0002105,              0.0002105
